slice,probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
eval_holdout,mlp,episode,continuous,future_action_mean,0,0.8847963685660537,0.7769906576832838,0.01087088377097981,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0,0.02337028458714485
eval_holdout,mlp,episode,continuous,future_action_mean,1,0.9284958613863269,0.7769906576832838,0.0074193900505413945,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0,0.02337028458714485
eval_holdout,mlp,episode,continuous,future_action_mean,2,0.944975991301523,0.7769906576832838,0.009507576048063036,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0,0.02337028458714485
eval_holdout,mlp,episode,continuous,future_action_mean,3,0.5449735350578775,0.7769906576832838,0.0005451563902426136,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0,0.02337028458714485
eval_holdout,mlp,episode,continuous,future_action_mean,4,0.4718126015173959,0.7769906576832838,0.0012965071789498106,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0,0.02337028458714485
eval_holdout,mlp,episode,continuous,future_action_mean,5,0.7953030077943938,0.7769906576832838,0.0027426278748234087,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0,0.02337028458714485
eval_holdout,mlp,episode,continuous,future_action_mean,6,0.8685772381594157,0.7769906576832838,0.1259539157205024,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0,0.02337028458714485
eval_holdout,ridge,episode,continuous,current_action,0,0.8250813680501817,0.5106100125589709,0.017114161371192926,0.11353625790903203,247859,69658,34998,0.002129077911376953,,
eval_holdout,ridge,episode,continuous,current_action,1,0.8396887988192991,0.5106100125589709,0.01706911640120964,0.11353625790903203,247859,69658,34998,0.002129077911376953,,
eval_holdout,ridge,episode,continuous,current_action,2,0.898820090208024,0.5106100125589709,0.01794154799012082,0.11353625790903203,247859,69658,34998,0.002129077911376953,,
eval_holdout,ridge,episode,continuous,current_action,3,0.3136877153134525,0.5106100125589709,0.0008427319340533943,0.11353625790903203,247859,69658,34998,0.002129077911376953,,
eval_holdout,ridge,episode,continuous,current_action,4,0.24056558836213593,0.5106100125589709,0.00194330471669563,0.11353625790903203,247859,69658,34998,0.002129077911376953,,
eval_holdout,ridge,episode,continuous,current_action,5,0.185879090271299,0.5106100125589709,0.010404090832301387,0.11353625790903203,247859,69658,34998,0.002129077911376953,,
eval_holdout,ridge,episode,continuous,current_action,6,0.2705474368884039,0.5106100125589709,0.7294388521176505,0.11353625790903203,247859,69658,34998,0.002129077911376953,,
eval_holdout,ridge,episode,continuous,future_action_mean,0,0.735872395877506,0.47458738773678316,0.024923697711467574,0.11151355095573591,247859,69658,34998,0.0018527507781982422,,
eval_holdout,ridge,episode,continuous,future_action_mean,1,0.7837606234598147,0.47458738773678316,0.02243736250716453,0.11151355095573591,247859,69658,34998,0.0018527507781982422,,
eval_holdout,ridge,episode,continuous,future_action_mean,2,0.8687397607790031,0.47458738773678316,0.022680403263950422,0.11151355095573591,247859,69658,34998,0.0018527507781982422,,
eval_holdout,ridge,episode,continuous,future_action_mean,3,0.2815360498471903,0.47458738773678316,0.000860774578539238,0.11151355095573591,247859,69658,34998,0.0018527507781982422,,
eval_holdout,ridge,episode,continuous,future_action_mean,4,0.18133952004259524,0.47458738773678316,0.002009512518542659,0.11151355095573591,247859,69658,34998,0.0018527507781982422,,
eval_holdout,ridge,episode,continuous,future_action_mean,5,0.19806238825285238,0.47458738773678316,0.010744742383111584,0.11151355095573591,247859,69658,34998,0.0018527507781982422,,
eval_holdout,ridge,episode,continuous,future_action_mean,6,0.2728009758985205,0.47458738773678316,0.6969383637273754,0.11151355095573591,247859,69658,34998,0.0018527507781982422,,
play,mlp,episode,continuous,current_action,0,0.8863743794115734,0.6825052793310757,0.010447794488176452,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0,0.05767463147640228
play,mlp,episode,continuous,current_action,1,0.9064810745758043,0.6825052793310757,0.012258458055709843,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0,0.05767463147640228
play,mlp,episode,continuous,current_action,2,0.9206996871742503,0.6825052793310757,0.013017831101873642,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0,0.05767463147640228
play,mlp,episode,continuous,current_action,3,0.535321549611232,0.6825052793310757,0.001105435459523947,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0,0.05767463147640228
play,mlp,episode,continuous,current_action,4,0.4416178860577362,0.6825052793310757,0.0018934398214515348,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0,0.05767463147640228
play,mlp,episode,continuous,current_action,5,0.43966011051633946,0.6825052793310757,0.004180339062720609,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0,0.05767463147640228
play,mlp,episode,continuous,current_action,6,0.6473822679705945,0.6825052793310757,0.3517881498830086,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0,0.05767463147640228
play,mlp,episode,continuous,future_action_mean,0,0.8447622697218928,0.6685081071948966,0.01382055966290506,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0,0.05404195562005043
play,mlp,episode,continuous,future_action_mean,1,0.8976953559162052,0.6685081071948966,0.013199658970147675,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0,0.05404195562005043
play,mlp,episode,continuous,future_action_mean,2,0.9122691968080067,0.6685081071948966,0.014209466478245779,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0,0.05404195562005043
play,mlp,episode,continuous,future_action_mean,3,0.5085728481386178,0.6685081071948966,0.0011457669735472392,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0,0.05404195562005043
play,mlp,episode,continuous,future_action_mean,4,0.3869859146704845,0.6685081071948966,0.0020175315975862894,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0,0.05404195562005043
play,mlp,episode,continuous,future_action_mean,5,0.46434204834648385,0.6685081071948966,0.003965732887740871,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0,0.05404195562005043
play,mlp,episode,continuous,future_action_mean,6,0.6649291167625859,0.6685081071948966,0.3214332738608285,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0,0.05404195562005043
play,ridge,episode,continuous,current_action,0,0.8136271681572078,0.4872971139279477,0.017136848495868995,0.11362199695552307,2132977,604816,304781,0.016141414642333984,,
play,ridge,episode,continuous,current_action,1,0.841957770337216,0.4872971139279477,0.020716170920104037,0.11362199695552307,2132977,604816,304781,0.016141414642333984,,
play,ridge,episode,continuous,current_action,2,0.8762176035690779,0.4872971139279477,0.020319949224710747,0.11362199695552307,2132977,604816,304781,0.016141414642333984,,
play,ridge,episode,continuous,current_action,3,0.2899194482002516,0.4872971139279477,0.0016892287998745252,0.11362199695552307,2132977,604816,304781,0.016141414642333984,,
play,ridge,episode,continuous,current_action,4,0.21843724805222764,0.4872971139279477,0.002650231804620759,0.11362199695552307,2132977,604816,304781,0.016141414642333984,,
play,ridge,episode,continuous,current_action,5,0.09875078378432078,0.4872971139279477,0.006723646441206283,0.11362199695552307,2132977,604816,304781,0.016141414642333984,,
play,ridge,episode,continuous,current_action,6,0.2721697753953328,0.4872971139279477,0.7261179030022761,0.11362199695552307,2132977,604816,304781,0.016141414642333984,,
play,ridge,episode,continuous,future_action_mean,0,0.7286242207658279,0.45485116194814507,0.02416013904128926,0.11111008215401445,2132977,604816,304781,0.015531539916992188,,
play,ridge,episode,continuous,future_action_mean,1,0.8056524519725196,0.45485116194814507,0.02507531675244338,0.11111008215401445,2132977,604816,304781,0.015531539916992188,,
play,ridge,episode,continuous,future_action_mean,2,0.8528379944963655,0.45485116194814507,0.02383534070124819,0.11111008215401445,2132977,604816,304781,0.015531539916992188,,
play,ridge,episode,continuous,future_action_mean,3,0.2556111906543338,0.45485116194814507,0.0017355494298511914,0.11111008215401445,2132977,604816,304781,0.015531539916992188,,
play,ridge,episode,continuous,future_action_mean,4,0.160666540967771,0.45485116194814507,0.002762386403566355,0.11111008215401445,2132977,604816,304781,0.015531539916992188,,
play,ridge,episode,continuous,future_action_mean,5,0.10355700896379605,0.45485116194814507,0.006636797681361804,0.11111008215401445,2132977,604816,304781,0.015531539916992188,,
play,ridge,episode,continuous,future_action_mean,6,0.2770087258164017,0.45485116194814507,0.693565045068341,0.11111008215401445,2132977,604816,304781,0.015531539916992188,,
