model,checkpoint,source,tsne_x,tsne_y
sharedlam2,001000,robot_3cam,63.97,-28.46
sharedlam2,001000,robot_3cam,62.18,-1.69
sharedlam2,001000,robot_3cam,65.94,5.65
sharedlam2,001000,robot_3cam,35.89,-2.86
sharedlam2,001000,robot_3cam,50.17,23.41
sharedlam2,001000,robot_3cam,40.75,-4.52
sharedlam2,001000,robot_3cam,11.79,-9.8
sharedlam2,001000,robot_3cam,60.62,22.79
sharedlam2,001000,robot_3cam,41.07,-5.36
sharedlam2,001000,robot_3cam,64.38,6.93
sharedlam2,001000,robot_3cam,27.22,-29.24
sharedlam2,001000,robot_3cam,42.52,-28.41
sharedlam2,001000,robot_3cam,3.73,-31.92
sharedlam2,001000,robot_3cam,76.09,-7.86
sharedlam2,001000,robot_3cam,37.21,-15.39
sharedlam2,001000,robot_3cam,67.58,24.59
sharedlam2,001000,robot_3cam,26.92,22.9
sharedlam2,001000,robot_3cam,17.78,-11.55
sharedlam2,001000,robot_3cam,74.41,-12.16
sharedlam2,001000,robot_3cam,46.69,19.37
sharedlam2,001000,robot_3cam,33.55,16.15
sharedlam2,001000,robot_3cam,64.87,5.0
sharedlam2,001000,robot_3cam,80.34,-16.8
sharedlam2,001000,robot_3cam,66.39,-27.07
sharedlam2,001000,robot_3cam,36.32,-6.74
sharedlam2,001000,robot_3cam,60.74,22.29
sharedlam2,001000,robot_3cam,34.04,16.4
sharedlam2,001000,robot_3cam,40.95,-16.95
sharedlam2,001000,robot_3cam,-6.46,-31.97
sharedlam2,001000,robot_3cam,30.75,6.98
sharedlam2,001000,robot_3cam,63.84,5.24
sharedlam2,001000,robot_3cam,48.32,-8.66
sharedlam2,001000,robot_3cam,67.38,8.93
sharedlam2,001000,robot_3cam,47.66,13.87
sharedlam2,001000,robot_3cam,1.24,-29.89
sharedlam2,001000,robot_3cam,30.17,-24.67
sharedlam2,001000,robot_3cam,51.63,-1.96
sharedlam2,001000,robot_3cam,32.88,-21.35
sharedlam2,001000,robot_3cam,-0.58,-21.11
sharedlam2,001000,robot_3cam,45.81,-8.68
sharedlam2,001000,robot_3cam,49.37,-1.41
sharedlam2,001000,robot_3cam,50.67,-26.21
sharedlam2,001000,robot_3cam,45.38,-1.82
sharedlam2,001000,robot_3cam,43.85,-8.03
sharedlam2,001000,robot_3cam,17.3,-9.58
sharedlam2,001000,robot_3cam,22.5,-11.57
sharedlam2,001000,robot_3cam,71.78,-7.55
sharedlam2,001000,robot_3cam,49.08,19.88
sharedlam2,001000,robot_3cam,81.19,28.47
sharedlam2,001000,robot_3cam,58.3,-32.87
sharedlam2,001000,robot_3cam,70.49,29.58
sharedlam2,001000,robot_3cam,32.89,-29.86
sharedlam2,001000,robot_3cam,64.6,5.53
sharedlam2,001000,robot_3cam,44.99,-18.05
sharedlam2,001000,robot_3cam,27.08,-26.51
sharedlam2,001000,robot_3cam,67.46,-10.97
sharedlam2,001000,robot_3cam,52.26,17.22
sharedlam2,001000,robot_3cam,0.05,-24.29
sharedlam2,001000,robot_3cam,52.27,17.3
sharedlam2,001000,robot_3cam,29.06,7.98
sharedlam2,001000,robot_3cam,39.62,-2.59
sharedlam2,001000,robot_3cam,55.54,29.06
sharedlam2,001000,robot_3cam,3.17,-25.73
sharedlam2,001000,robot_3cam,47.23,-13.43
