model,checkpoint,view,source,tsne_x,tsne_y
sharedlam2,030000,raw,robot_3cam,-67.62,-36.44
sharedlam2,030000,raw,robot_3cam,76.41,-6.3
sharedlam2,030000,raw,robot_3cam,32.21,-21.55
sharedlam2,030000,raw,robot_3cam,14.31,-16.88
sharedlam2,030000,raw,robot_3cam,11.68,8.55
sharedlam2,030000,raw,robot_3cam,58.43,21.18
sharedlam2,030000,raw,robot_3cam,19.85,-54.67
sharedlam2,030000,raw,robot_3cam,-0.08,-36.27
sharedlam2,030000,raw,robot_3cam,53.53,-46.97
sharedlam2,030000,raw,robot_3cam,55.88,-27.68
sharedlam2,030000,raw,robot_3cam,71.51,11.33
sharedlam2,030000,raw,robot_3cam,1.82,-57.05
sharedlam2,030000,raw,robot_3cam,-7.56,-20.1
sharedlam2,030000,raw,robot_3cam,3.53,-4.61
sharedlam2,030000,raw,robot_3cam,6.2,-1.88
sharedlam2,030000,raw,robot_3cam,24.87,-66.65
sharedlam2,030000,raw,robot_3cam,27.14,14.79
sharedlam2,030000,raw,robot_3cam,21.8,-41.05
sharedlam2,030000,raw,robot_3cam,42.33,-5.32
sharedlam2,030000,raw,robot_3cam,26.46,-62.68
sharedlam2,030000,raw,robot_3cam,28.49,-27.49
sharedlam2,030000,raw,robot_3cam,49.89,-7.95
sharedlam2,030000,raw,robot_3cam,5.19,-57.41
sharedlam2,030000,raw,robot_3cam,6.72,-39.89
sharedlam2,030000,raw,robot_3cam,52.61,12.55
sharedlam2,030000,raw,robot_3cam,26.48,-2.72
sharedlam2,030000,raw,robot_3cam,63.63,15.84
sharedlam2,030000,raw,robot_3cam,-4.39,-63.69
sharedlam2,030000,raw,robot_3cam,32.5,-41.53
sharedlam2,030000,raw,robot_3cam,31.85,-10.2
sharedlam2,030000,raw,robot_3cam,55.36,-23.78
sharedlam2,030000,raw,robot_3cam,52.59,-12.98
sharedlam2,030000,raw,robot_3cam,13.33,12.97
sharedlam2,030000,raw,robot_3cam,72.51,2.74
sharedlam2,030000,raw,robot_3cam,3.59,-21.47
sharedlam2,030000,raw,robot_3cam,44.97,3.21
sharedlam2,030000,raw,robot_3cam,28.91,10.02
sharedlam2,030000,raw,robot_3cam,-11.42,-43.98
sharedlam2,030000,raw,robot_3cam,46.2,-54.82
sharedlam2,030000,raw,robot_3cam,46.58,31.51
sharedlam2,030000,raw,robot_3cam,66.91,-6.35
sharedlam2,030000,raw,robot_3cam,2.4,5.78
sharedlam2,030000,raw,robot_3cam,61.11,-12.32
sharedlam2,030000,raw,robot_3cam,16.84,-25.72
sharedlam2,030000,raw,robot_3cam,42.51,17.61
sharedlam2,030000,raw,robot_3cam,1.64,-8.98
sharedlam2,030000,raw,robot_3cam,45.55,-33.39
sharedlam2,030000,raw,robot_3cam,21.53,-57.0
sharedlam2,030000,raw,robot_3cam,12.18,10.04
sharedlam2,030000,raw,robot_3cam,43.06,-32.06
sharedlam2,030000,raw,robot_3cam,27.12,22.38
sharedlam2,030000,raw,robot_3cam,23.59,-47.98
sharedlam2,030000,raw,robot_3cam,14.37,10.22
sharedlam2,030000,raw,robot_3cam,7.05,-49.93
sharedlam2,030000,raw,robot_3cam,9.35,-28.73
sharedlam2,030000,raw,robot_3cam,48.32,23.59
sharedlam2,030000,raw,robot_3cam,-5.57,-43.91
sharedlam2,030000,raw,robot_3cam,71.46,1.48
sharedlam2,030000,raw,robot_3cam,41.34,7.23
sharedlam2,030000,raw,robot_3cam,6.03,-46.44
sharedlam2,030000,raw,robot_3cam,43.36,16.04
sharedlam2,030000,raw,robot_3cam,55.99,25.12
sharedlam2,030000,raw,robot_3cam,34.77,24.32
sharedlam2,030000,raw,robot_3cam,-4.61,-55.39
sharedlam2,030000,raw,robot_3cam,32.31,-47.1
sharedlam2,030000,raw,robot_3cam,46.25,20.03
sharedlam2,030000,raw,robot_3cam,61.27,18.4
sharedlam2,030000,raw,robot_3cam,73.47,-20.03
sharedlam2,030000,raw,robot_3cam,72.9,-13.06
sharedlam2,030000,raw,robot_3cam,39.56,-56.15
sharedlam2,030000,raw,robot_3cam,69.54,-5.14
sharedlam2,030000,raw,robot_3cam,33.52,-25.69
sharedlam2,030000,raw,robot_3cam,-1.41,-11.76
sharedlam2,030000,raw,robot_3cam,39.6,-53.48
sharedlam2,030000,raw,robot_3cam,28.14,-11.87
sharedlam2,030000,raw,robot_3cam,-4.07,-13.96
sharedlam2,030000,raw,robot_3cam,21.11,-42.86
sharedlam2,030000,raw,robot_3cam,71.44,-6.46
sharedlam2,030000,raw,robot_3cam,-5.21,-33.47
sharedlam2,030000,raw,robot_3cam,54.11,-41.41
sharedlam2,030000,raw,robot_3cam,14.78,-35.99
sharedlam2,030000,raw,robot_3cam,21.67,-12.97
sharedlam2,030000,raw,robot_3cam,3.48,-54.84
sharedlam2,030000,raw,robot_3cam,59.6,-11.59
sharedlam2,030000,raw,robot_3cam,21.7,-57.05
sharedlam2,030000,raw,robot_3cam,5.28,-38.24
sharedlam2,030000,raw,robot_3cam,24.53,18.84
sharedlam2,030000,raw,robot_3cam,32.51,-25.34
sharedlam2,030000,raw,robot_3cam,33.83,-8.2
sharedlam2,030000,raw,robot_3cam,19.81,-54.64
sharedlam2,030000,raw,robot_3cam,6.74,2.46
sharedlam2,030000,raw,robot_3cam,19.49,-62.44
sharedlam2,030000,raw,robot_3cam,58.95,-33.49
sharedlam2,030000,raw,robot_3cam,52.06,0.05
sharedlam2,030000,raw,robot_3cam,70.4,-26.8
sharedlam2,030000,raw,robot_3cam,51.49,-14.72
sharedlam2,030000,raw,robot_3cam,54.11,-38.91
sharedlam2,030000,raw,robot_3cam,52.01,-7.87
sharedlam2,030000,raw,robot_3cam,41.68,17.83
sharedlam2,030000,raw,robot_3cam,27.21,-4.04
sharedlam2,030000,raw,robot_3cam,-10.32,-44.49
sharedlam2,030000,raw,robot_3cam,79.12,1.48
sharedlam2,030000,raw,robot_3cam,5.28,-5.14
sharedlam2,030000,raw,robot_3cam,31.27,-7.7
sharedlam2,030000,raw,robot_3cam,59.54,-11.87
sharedlam2,030000,raw,robot_3cam,54.85,-23.16
sharedlam2,030000,raw,robot_3cam,4.86,-55.91
sharedlam2,030000,raw,robot_3cam,8.76,-6.87
sharedlam2,030000,raw,robot_3cam,0.86,-6.95
