episode_index,task,source_kind,n_valid,ood_maha,agree_ridge_mlp,agree_multi_side,amp_dx,heldout,r2_dx_ridge_multi,r2_dx_ridge_side,r2_xyz_ridge_multi,score,proxy,rank_in_task
970,blue brick in blue bowl,video_2cam,115,5.7497,0.8494,0.8591,0.0149,False,,,,0.8494,agree_ridge_mlp,20
101,blue brick in blue bowl,robot_3cam,234,4.2280,0.9631,0.9123,0.0159,True,0.7455,0.8234,0.7933,0.9631,agree_ridge_mlp,1
105,blue brick in blue bowl,robot_3cam,121,3.2164,0.9603,0.9531,0.0175,False,0.6862,0.6943,0.7055,0.9603,agree_ridge_mlp,2
104,blue brick in blue bowl,robot_3cam,144,3.7201,0.9344,0.9708,0.0203,False,0.7385,0.7623,0.7934,0.9344,agree_ridge_mlp,3
102,blue brick in blue bowl,robot_3cam,187,3.2608,0.9239,0.9490,0.0161,False,0.6276,0.7863,0.7733,0.9239,agree_ridge_mlp,4
109,blue brick in blue bowl,robot_3cam,157,3.2431,0.9222,0.9273,0.0162,True,0.5512,0.7892,0.6862,0.9222,agree_ridge_mlp,5
103,blue brick in blue bowl,robot_3cam,148,4.0426,0.9192,0.9390,0.0173,False,0.5862,0.7710,0.7509,0.9192,agree_ridge_mlp,6
108,blue brick in blue bowl,robot_3cam,140,2.9139,0.9077,0.9667,0.0175,True,0.6277,0.6529,0.6155,0.9077,agree_ridge_mlp,7
106,blue brick in blue bowl,robot_3cam,153,3.3200,0.8872,0.8387,0.0146,False,0.7046,0.6717,0.7404,0.8872,agree_ridge_mlp,8
100,blue brick in blue bowl,robot_3cam,198,2.1779,0.8834,0.9666,0.0104,False,0.6379,0.6057,0.7420,0.8834,agree_ridge_mlp,9
107,blue brick in blue bowl,robot_3cam,141,3.8909,0.8780,0.9247,0.0191,False,0.6722,0.7662,0.7053,0.8780,agree_ridge_mlp,10
1399,yellow brick in orange bowl,video_2cam,134,6.7149,0.9758,0.8742,0.0173,False,,,,0.9758,agree_ridge_mlp,1
1391,yellow brick in orange bowl,video_2cam,118,5.6807,0.9758,0.7882,0.0199,False,,,,0.9758,agree_ridge_mlp,2
1397,yellow brick in orange bowl,video_2cam,119,5.6142,0.9752,0.8811,0.0189,False,,,,0.9752,agree_ridge_mlp,3
1406,yellow brick in orange bowl,video_2cam,135,6.6135,0.9718,0.8634,0.0167,False,,,,0.9718,agree_ridge_mlp,4
1401,yellow brick in orange bowl,video_2cam,146,5.9585,0.9707,0.8432,0.0170,False,,,,0.9707,agree_ridge_mlp,5
1409,yellow brick in orange bowl,video_2cam,121,6.1456,0.9695,0.8833,0.0183,False,,,,0.9695,agree_ridge_mlp,6
1395,yellow brick in orange bowl,video_2cam,116,6.9256,0.9667,0.8750,0.0161,False,,,,0.9667,agree_ridge_mlp,7
1392,yellow brick in orange bowl,video_2cam,117,5.6809,0.9664,0.8525,0.0181,False,,,,0.9664,agree_ridge_mlp,8
1405,yellow brick in orange bowl,video_2cam,122,6.1895,0.9660,0.8705,0.0172,False,,,,0.9660,agree_ridge_mlp,9
1398,yellow brick in orange bowl,video_2cam,127,6.8633,0.9654,0.8988,0.0178,False,,,,0.9654,agree_ridge_mlp,10
1396,yellow brick in orange bowl,video_2cam,129,6.1875,0.9639,0.8847,0.0175,False,,,,0.9639,agree_ridge_mlp,11
1393,yellow brick in orange bowl,video_2cam,146,6.1991,0.9633,0.8260,0.0169,False,,,,0.9633,agree_ridge_mlp,12
1407,yellow brick in orange bowl,video_2cam,120,7.0163,0.9598,0.9214,0.0185,False,,,,0.9598,agree_ridge_mlp,13
1410,yellow brick in orange bowl,video_2cam,139,7.0079,0.9587,0.8639,0.0190,False,,,,0.9587,agree_ridge_mlp,14
1403,yellow brick in orange bowl,video_2cam,140,6.9156,0.9575,0.8325,0.0181,False,,,,0.9575,agree_ridge_mlp,15
1394,yellow brick in orange bowl,video_2cam,135,6.1478,0.9570,0.8830,0.0154,False,,,,0.9570,agree_ridge_mlp,16
1400,yellow brick in orange bowl,video_2cam,125,6.3006,0.9529,0.8501,0.0203,False,,,,0.9529,agree_ridge_mlp,17
1404,yellow brick in orange bowl,video_2cam,141,5.7080,0.9494,0.8727,0.0150,False,,,,0.9494,agree_ridge_mlp,18
1402,yellow brick in orange bowl,video_2cam,122,6.1016,0.9472,0.8842,0.0188,False,,,,0.9472,agree_ridge_mlp,19
1408,yellow brick in orange bowl,video_2cam,149,6.0251,0.9399,0.6789,0.0167,False,,,,0.9399,agree_ridge_mlp,20
342,yellow brick in orange bowl,robot_3cam,184,2.6932,0.9500,0.9355,0.0166,False,0.8637,0.7886,0.7835,0.9500,agree_ridge_mlp,1
346,yellow brick in orange bowl,robot_3cam,149,2.6655,0.9410,0.9736,0.0154,False,0.7370,0.6354,0.6704,0.9410,agree_ridge_mlp,2
345,yellow brick in orange bowl,robot_3cam,177,2.6379,0.9240,0.9565,0.0174,False,0.7065,0.8426,0.7736,0.9240,agree_ridge_mlp,3
347,yellow brick in orange bowl,robot_3cam,201,2.6667,0.9190,0.9216,0.0121,False,0.8083,0.6824,0.7610,0.9190,agree_ridge_mlp,4
350,yellow brick in orange bowl,robot_3cam,166,3.2261,0.9166,0.9503,0.0213,False,0.7062,0.8096,0.7105,0.9166,agree_ridge_mlp,5
349,yellow brick in orange bowl,robot_3cam,153,3.3424,0.8948,0.9489,0.0196,True,0.6151,0.6843,0.7494,0.8948,agree_ridge_mlp,6
348,yellow brick in orange bowl,robot_3cam,181,3.6252,0.8758,0.9255,0.0162,False,0.7663,0.7590,0.8105,0.8758,agree_ridge_mlp,7
344,yellow brick in orange bowl,robot_3cam,152,2.7997,0.8596,0.9164,0.0138,True,0.8046,0.7200,0.8472,0.8596,agree_ridge_mlp,8
343,yellow brick in orange bowl,robot_3cam,161,3.3284,0.8555,0.9518,0.0165,False,0.5792,0.6994,0.7548,0.8555,agree_ridge_mlp,9
341,yellow brick in orange bowl,robot_3cam,174,2.4201,0.8252,0.8912,0.0116,True,0.6469,0.4173,0.7313,0.8252,agree_ridge_mlp,10
1568,yellow brick on pink plate,video_2cam,100,5.1805,0.9823,0.8089,0.0195,False,,,,0.9823,agree_ridge_mlp,1
1567,yellow brick on pink plate,video_2cam,104,5.6723,0.9784,0.9032,0.0212,False,,,,0.9784,agree_ridge_mlp,2
1533,yellow brick on pink plate,video_2cam,113,6.7072,0.9767,0.7147,0.0162,False,,,,0.9767,agree_ridge_mlp,3
1538,yellow brick on pink plate,video_2cam,143,6.2271,0.9763,0.7467,0.0132,False,,,,0.9763,agree_ridge_mlp,4
1523,yellow brick on pink plate,video_2cam,142,6.4143,0.9750,0.6424,0.0123,False,,,,0.9750,agree_ridge_mlp,5
1566,yellow brick on pink plate,video_2cam,97,5.7797,0.9708,0.9275,0.0204,False,,,,0.9708,agree_ridge_mlp,6
1528,yellow brick on pink plate,video_2cam,126,6.6581,0.9702,0.8275,0.0144,False,,,,0.9702,agree_ridge_mlp,7
1525,yellow brick on pink plate,video_2cam,136,6.5496,0.9697,0.7783,0.0154,False,,,,0.9697,agree_ridge_mlp,8
1561,yellow brick on pink plate,video_2cam,122,5.7785,0.9658,0.8715,0.0152,False,,,,0.9658,agree_ridge_mlp,9
1577,yellow brick on pink plate,video_2cam,124,5.6621,0.9651,0.8270,0.0144,False,,,,0.9651,agree_ridge_mlp,10
1536,yellow brick on pink plate,video_2cam,114,6.6624,0.9644,0.7904,0.0165,False,,,,0.9644,agree_ridge_mlp,11
1530,yellow brick on pink plate,video_2cam,130,6.7474,0.9621,0.5979,0.0135,False,,,,0.9621,agree_ridge_mlp,12
1532,yellow brick on pink plate,video_2cam,116,6.2413,0.9601,0.7361,0.0132,False,,,,0.9601,agree_ridge_mlp,13
1570,yellow brick on pink plate,video_2cam,99,5.8392,0.9550,0.6815,0.0157,False,,,,0.9550,agree_ridge_mlp,14
1578,yellow brick on pink plate,video_2cam,100,5.7987,0.9547,0.8337,0.0183,False,,,,0.9547,agree_ridge_mlp,15
1564,yellow brick on pink plate,video_2cam,118,5.0780,0.9541,0.8392,0.0125,False,,,,0.9541,agree_ridge_mlp,16
1569,yellow brick on pink plate,video_2cam,122,6.5038,0.9495,0.8032,0.0177,False,,,,0.9495,agree_ridge_mlp,17
1539,yellow brick on pink plate,video_2cam,146,5.7875,0.9486,0.7568,0.0161,False,,,,0.9486,agree_ridge_mlp,18
1563,yellow brick on pink plate,video_2cam,126,5.1853,0.9482,0.8999,0.0142,False,,,,0.9482,agree_ridge_mlp,19
1574,yellow brick on pink plate,video_2cam,108,6.6706,0.9459,0.7883,0.0185,False,,,,0.9459,agree_ridge_mlp,20
1575,yellow brick on pink plate,video_2cam,119,6.0577,0.9448,0.8109,0.0172,False,,,,0.9448,agree_ridge_mlp,21
1531,yellow brick on pink plate,video_2cam,117,6.6124,0.9424,0.6658,0.0128,False,,,,0.9424,agree_ridge_mlp,22
