benchmark,method,teacher_job,ckpt_step,probe,target,action_dim,dim_name,r2,n_train,n_test,source_dir,note
realworld,ours_single,44160743,30000,mlp,current_action,5,dyaw,0.869612,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,current_action,6,gripper,0.468738,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,0,dx,0.755386,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,1,dy,0.846743,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,2,dz,0.928135,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,3,droll,0.443702,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,4,dpitch,0.425938,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,5,dyaw,0.868411,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,6,gripper,0.465512,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,current_action,0,dx,0.518637,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,current_action,1,dy,0.357937,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
