model,checkpoint,source,umap_x,umap_y
sharedlam2,001000,robot_3cam,9.42,1.92
sharedlam2,001000,robot_3cam,12.49,2.64
sharedlam2,001000,robot_3cam,9.14,1.3
sharedlam2,001000,robot_3cam,7.69,2.7
sharedlam2,001000,robot_3cam,8.32,2.15
sharedlam2,001000,robot_3cam,9.35,0.77
sharedlam2,001000,robot_3cam,9.06,1.39
sharedlam2,001000,robot_3cam,9.01,3.74
sharedlam2,001000,robot_3cam,10.4,2.46
sharedlam2,001000,robot_3cam,10.14,3.73
sharedlam2,001000,robot_3cam,10.88,4.05
sharedlam2,001000,robot_3cam,8.93,3.54
sharedlam2,001000,robot_3cam,10.98,2.71
sharedlam2,001000,robot_3cam,9.38,2.56
sharedlam2,001000,robot_3cam,10.06,3.77
sharedlam2,001000,robot_3cam,12.53,2.63
sharedlam2,001000,robot_3cam,9.41,2.39
sharedlam2,001000,robot_3cam,11.77,3.43
sharedlam2,001000,robot_3cam,8.08,2.89
sharedlam2,001000,robot_3cam,11.44,2.86
sharedlam2,001000,robot_3cam,9.32,4.02
sharedlam2,001000,robot_3cam,11.72,1.5
sharedlam2,001000,robot_3cam,9.13,1.47
sharedlam2,001000,robot_3cam,12.33,3.4
sharedlam2,001000,robot_3cam,9.17,3.93
sharedlam2,001000,robot_3cam,12.42,3.2
sharedlam2,001000,robot_3cam,8.92,1.11
sharedlam2,001000,robot_3cam,9.75,1.19
sharedlam2,001000,robot_3cam,11.98,2.31
sharedlam2,001000,robot_3cam,9.2,3.07
sharedlam2,001000,robot_3cam,11.99,2.94
sharedlam2,001000,robot_3cam,7.43,2.66
sharedlam2,001000,robot_3cam,11.65,5.77
sharedlam2,001000,robot_3cam,11.68,1.44
sharedlam2,001000,robot_3cam,11.6,2.12
sharedlam2,001000,robot_3cam,8.33,2.6
sharedlam2,001000,robot_3cam,12.09,2.88
sharedlam2,001000,robot_3cam,8.28,2.22
sharedlam2,001000,robot_3cam,9.18,2.42
sharedlam2,001000,robot_3cam,15.61,1.04
sharedlam2,001000,robot_3cam,8.1,2.93
sharedlam2,001000,robot_3cam,8.05,13.7
sharedlam2,001000,robot_3cam,8.86,1.56
sharedlam2,001000,robot_3cam,12.2,3.1
sharedlam2,001000,robot_3cam,9.1,4.12
sharedlam2,001000,robot_3cam,12.41,1.48
sharedlam2,001000,robot_3cam,10.34,2.51
sharedlam2,001000,robot_3cam,9.42,3.9
sharedlam2,001000,robot_3cam,8.99,4.01
sharedlam2,001000,robot_3cam,9.03,3.13
sharedlam2,001000,robot_3cam,12.28,3.09
sharedlam2,001000,robot_3cam,9.19,3.19
sharedlam2,001000,robot_3cam,8.08,2.79
sharedlam2,001000,robot_3cam,11.74,3.57
sharedlam2,001000,robot_3cam,9.28,3.18
sharedlam2,001000,robot_3cam,8.99,4.16
sharedlam2,001000,robot_3cam,9.81,1.28
sharedlam2,001000,robot_3cam,9.22,1.82
sharedlam2,001000,robot_3cam,8.65,1.01
