model,model_label,view,source,tsne_x,tsne_y
sharedlam2,front+side,raw latent (8-D),robot_3cam,16.64,-52.0
sharedlam2,front+side,raw latent (8-D),robot_3cam,-24.4,-15.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,-29.74,-25.04
sharedlam2,front+side,raw latent (8-D),robot_3cam,-11.36,-67.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,-27.12,-70.62
sharedlam2,front+side,raw latent (8-D),robot_3cam,-1.06,-40.59
sharedlam2,front+side,raw latent (8-D),robot_3cam,-62.39,-21.21
sharedlam2,front+side,raw latent (8-D),robot_3cam,-32.44,-54.8
sharedlam2,front+side,raw latent (8-D),robot_3cam,15.13,-61.19
sharedlam2,front+side,raw latent (8-D),robot_3cam,-46.23,-38.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,-59.43,-13.78
sharedlam2,front+side,raw latent (8-D),robot_3cam,4.1,-51.77
sharedlam2,front+side,raw latent (8-D),robot_3cam,-41.06,0.12
sharedlam2,front+side,raw latent (8-D),robot_3cam,26.24,-57.7
sharedlam2,front+side,raw latent (8-D),robot_3cam,-11.61,-43.4
sharedlam2,front+side,raw latent (8-D),robot_3cam,-11.02,-10.49
sharedlam2,front+side,raw latent (8-D),robot_3cam,-36.09,-17.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,27.23,-46.11
sharedlam2,front+side,raw latent (8-D),robot_3cam,-55.62,-33.97
sharedlam2,front+side,raw latent (8-D),robot_3cam,22.39,-46.82
sharedlam2,front+side,raw latent (8-D),robot_3cam,-31.06,-27.0
sharedlam2,front+side,raw latent (8-D),robot_3cam,39.25,-50.14
sharedlam2,front+side,raw latent (8-D),robot_3cam,-7.25,6.97
sharedlam2,front+side,raw latent (8-D),robot_3cam,7.9,-67.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,-41.25,-39.63
sharedlam2,front+side,raw latent (8-D),robot_3cam,-0.95,-39.09
sharedlam2,front+side,raw latent (8-D),robot_3cam,-58.38,-1.67
sharedlam2,front+side,raw latent (8-D),robot_3cam,-42.9,-29.49
