teacher,n_emb,checkpoint,embodiment,umap_x,umap_y
xemb1iiwa,2,001000,franka,-4.57,10.06
xemb1iiwa,2,001000,franka,-5.78,5.4
xemb1iiwa,2,001000,franka,1.98,23.07
xemb1iiwa,2,001000,franka,6.99,-3.78
xemb1iiwa,2,001000,franka,3.52,22.73
xemb1iiwa,2,001000,franka,11.5,25.33
xemb1iiwa,2,001000,franka,8.07,-3.46
xemb1iiwa,2,001000,franka,12.29,25.34
xemb1iiwa,2,001000,franka,11.24,25.09
xemb1iiwa,2,001000,franka,6.92,-3.82
xemb1iiwa,2,001000,franka,7.88,-3.74
xemb1iiwa,2,001000,franka,-5.28,5.62
xemb1iiwa,2,001000,franka,1.72,22.89
xemb1iiwa,2,001000,franka,8.05,-3.72
xemb1iiwa,2,001000,franka,7.85,-8.45
xemb1iiwa,2,001000,franka,-3.62,9.56
xemb1iiwa,2,001000,franka,12.27,25.41
xemb1iiwa,2,001000,franka,-4.1,9.41
xemb1iiwa,2,001000,franka,2.58,22.88
xemb1iiwa,2,001000,franka,7.73,-8.57
xemb1iiwa,2,001000,franka,11.38,25.12
xemb1iiwa,2,001000,franka,7.67,-8.49
xemb1iiwa,2,001000,franka,-4.72,8.53
xemb1iiwa,2,001000,franka,1.71,22.74
xemb1iiwa,2,001000,franka,12.25,25.06
xemb1iiwa,2,001000,franka,6.99,-3.72
xemb1iiwa,2,001000,franka,1.95,22.9
xemb1iiwa,2,001000,franka,-5.31,6.02
xemb1iiwa,2,001000,franka,8.0,-3.47
xemb1iiwa,2,001000,franka,-4.41,9.91
xemb1iiwa,2,001000,franka,-4.89,9.81
xemb1iiwa,2,001000,franka,11.02,25.32
xemb1iiwa,2,001000,franka,3.45,22.66
xemb1iiwa,2,001000,franka,-3.85,10.34
xemb1iiwa,2,001000,franka,8.01,-3.68
xemb1iiwa,2,001000,franka,2.04,22.86
xemb1iiwa,2,001000,franka,-5.54,5.38
xemb1iiwa,2,001000,franka,-4.84,7.43
xemb1iiwa,2,001000,franka,-3.6,9.61
xemb1iiwa,2,001000,franka,8.02,-3.46
xemb1iiwa,2,001000,franka,1.91,22.82
xemb1iiwa,2,001000,franka,-3.7,10.44
xemb1iiwa,2,001000,franka,11.72,25.39
xemb1iiwa,2,001000,franka,2.6,22.86
xemb1iiwa,2,001000,franka,-4.82,9.8
xemb1iiwa,2,001000,franka,-5.48,5.78
xemb1iiwa,2,001000,franka,11.19,25.56
xemb1iiwa,2,001000,franka,7.96,-8.35
xemb1iiwa,2,001000,franka,11.07,25.08
xemb1iiwa,2,001000,franka,7.71,-3.69
xemb1iiwa,2,001000,franka,2.28,22.95
xemb1iiwa,2,001000,franka,-4.8,7.69
xemb1iiwa,2,001000,franka,11.39,25.21
xemb1iiwa,2,001000,franka,11.57,25.3
xemb1iiwa,2,001000,franka,7.73,-8.39
xemb1iiwa,2,001000,franka,6.99,-3.73
xemb1iiwa,2,001000,franka,-4.65,7.72
xemb1iiwa,2,001000,franka,12.57,25.13
xemb1iiwa,2,001000,franka,-5.26,7.61
xemb1iiwa,2,001000,franka,7.9,-8.4
xemb1iiwa,2,001000,franka,12.35,25.21
xemb1iiwa,2,001000,franka,11.86,25.49
xemb1iiwa,2,001000,franka,-3.97,9.77
xemb1iiwa,2,001000,franka,-3.68,9.3
xemb1iiwa,2,001000,franka,11.71,25.31
xemb1iiwa,2,001000,franka,-4.82,8.51
xemb1iiwa,2,001000,franka,2.68,22.85
xemb1iiwa,2,001000,franka,3.53,22.73
xemb1iiwa,2,001000,franka,7.72,-8.48
xemb1iiwa,2,001000,franka,11.23,25.63
xemb1iiwa,2,001000,franka,7.86,-8.4
xemb1iiwa,2,001000,franka,12.48,25.17
xemb1iiwa,2,001000,franka,7.72,-8.42
xemb1iiwa,2,001000,franka,-4.41,10.03
xemb1iiwa,2,001000,franka,-4.36,8.9
xemb1iiwa,2,001000,franka,7.89,-8.36
xemb1iiwa,2,001000,franka,11.28,25.39
xemb1iiwa,2,001000,franka,-3.85,10.23
xemb1iiwa,2,001000,franka,6.95,-3.73
xemb1iiwa,2,001000,franka,12.33,25.26
